Training neural network with 2000000 games
Training neural network against 2000000 random games...
Games: 950000, Wins: 8705 (87.0%), Losses: 0 (0.0%), Ties: 1295 (12.9%)
Games: 960000, Wins: 8656 (86.6%), Losses: 0 (0.0%), Ties: 1344 (13.4%)
Games: 970000, Wins: 8678 (86.8%), Losses: 0 (0.0%), Ties: 1322 (13.2%)
Games: 980000, Wins: 8650 (86.5%), Losses: 0 (0.0%), Ties: 1350 (13.5%)
Games: 990000, Wins: 8658 (86.6%), Losses: 0 (0.0%), Ties: 1342 (13.4%)
Games: 1000000, Wins: 8676 (86.8%), Losses: 0 (0.0%), Ties: 1324 (13.2%)
Games: 1010000, Wins: 8643 (86.4%), Losses: 0 (0.0%), Ties: 1357 (13.6%)
Games: 1020000, Wins: 8607 (86.1%), Losses: 0 (0.0%), Ties: 1393 (13.9%)
Games: 1030000, Wins: 8737 (87.4%), Losses: 0 (0.0%), Ties: 1263 (12.6%)
Games: 1040000, Wins: 8690 (86.9%), Losses: 0 (0.0%), Ties: 1310 (13.1%)
Games: 1050000, Wins: 8662 (86.6%), Losses: 0 (0.0%), Ties: 1338 (13.4%)
Games: 1060000, Wins: 8671 (86.7%), Losses: 0 (0.0%), Ties: 1329 (13.3%)
Games: 1070000, Wins: 8680 (86.8%), Losses: 0 (0.0%), Ties: 1320 (13.2%)
Games: 1080000, Wins: 8702 (87.0%), Losses: 0 (0.0%), Ties: 1298 (13.0%)
Games: 1090000, Wins: 8695 (86.9%), Losses: 0 (0.0%), Ties: 1305 (13.0%)
Games: 1100000, Wins: 8651 (86.5%), Losses: 0 (0.0%), Ties: 1349 (13.5%)
Games: 1110000, Wins: 8654 (86.5%), Losses: 0 (0.0%), Ties: 1346 (13.5%)
Games: 1120000, Wins: 8702 (87.0%), Losses: 0 (0.0%), Ties: 1298 (13.0%)
Games: 1130000, Wins: 8760 (87.6%), Losses: 0 (0.0%), Ties: 1240 (12.4%)
Games: 1140000, Wins: 8708 (87.1%), Losses: 0 (0.0%), Ties: 1292 (12.9%)
Games: 1150000, Wins: 8666 (86.7%), Losses: 0 (0.0%), Ties: 1334 (13.3%)
Games: 1160000, Wins: 8663 (86.6%), Losses: 0 (0.0%), Ties: 1337 (13.4%)
Games: 1170000, Wins: 8690 (86.9%), Losses: 0 (0.0%), Ties: 1310 (13.1%)
Games: 1180000, Wins: 8711 (87.1%), Losses: 0 (0.0%), Ties: 1289 (12.9%)
Games: 1190000, Wins: 8665 (86.7%), Losses: 0 (0.0%), Ties: 1335 (13.3%)
Games: 1200000, Wins: 8687 (86.9%), Losses: 0 (0.0%), Ties: 1313 (13.1%)
Games: 1210000, Wins: 8679 (86.8%), Losses: 0 (0.0%), Ties: 1321 (13.2%)
Games: 1220000, Wins: 8684 (86.8%), Losses: 0 (0.0%), Ties: 1316 (13.2%)
Games: 1230000, Wins: 8644 (86.4%), Losses: 0 (0.0%), Ties: 1356 (13.6%)
Games: 1240000, Wins: 8736 (87.4%), Losses: 0 (0.0%), Ties: 1264 (12.6%)
Games: 1250000, Wins: 8750 (87.5%), Losses: 0 (0.0%), Ties: 1250 (12.5%)
Games: 1260000, Wins: 8643 (86.4%), Losses: 0 (0.0%), Ties: 1357 (13.6%)
Games: 1270000, Wins: 8686 (86.9%), Losses: 0 (0.0%), Ties: 1314 (13.1%)
Games: 1280000, Wins: 8699 (87.0%), Losses: 0 (0.0%), Ties: 1301 (13.0%)
Games: 1290000, Wins: 8672 (86.7%), Losses: 0 (0.0%), Ties: 1328 (13.3%)
Games: 1300000, Wins: 8721 (87.2%), Losses: 0 (0.0%), Ties: 1279 (12.8%)
Games: 1310000, Wins: 8675 (86.8%), Losses: 0 (0.0%), Ties: 1325 (13.2%)
Games: 1320000, Wins: 8818 (88.2%), Losses: 0 (0.0%), Ties: 1182 (11.8%)
Games: 1330000, Wins: 8730 (87.3%), Losses: 0 (0.0%), Ties: 1270 (12.7%)
Games: 1340000, Wins: 8732 (87.3%), Losses: 0 (0.0%), Ties: 1268 (12.7%)
Games: 1350000, Wins: 8709 (87.1%), Losses: 0 (0.0%), Ties: 1291 (12.9%)
Games: 1360000, Wins: 8662 (86.6%), Losses: 0 (0.0%), Ties: 1338 (13.4%)
Games: 1370000, Wins: 8674 (86.7%), Losses: 0 (0.0%), Ties: 1326 (13.3%)
Games: 1380000, Wins: 8736 (87.4%), Losses: 0 (0.0%), Ties: 1264 (12.6%)
